,trackName,artistName,albumName,populartySong,genres,populartyArtist
246,Little Jinder,Allting suger,Super 8,43,"['electropop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",42
247,The Smiths,The Sound of the Smiths,This Charming Man - Single Version; 2008 Remaster,76,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",72
248,Beck,Beck,Blue Moon - Live From KCRW / 2014,87,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",85
249,Benjamin Francis Leftwich,When You Were Young,When You Were Young,54,"['indie folk', 'neo mellow', 'stomp and holler', 'york indie']",52
250,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,Atlas Hands,54,"['indie folk', 'neo mellow', 'stomp and holler', 'york indie']",52
251,Daryl Braithwaite,The Essential,One Summer - 2007 Remastered,55,"['australian pop', 'australian rock', 'australian talent show']",49
252,Håkan Hellström,Illusioner,I dina armar,63,"['classic swedish pop', 'gothenburg indie', 'swedish indie rock', 'swedish pop']",60
253,LÉON,Think About You,Think About You,65,"['metropopolis', 'pop']",63
254,Blitzen Trapper,Furr,Furr,58,"['deep new americana', 'indie folk', 'modern folk rock', 'new americana', 'portland indie', 'roots rock', 'stomp and holler']",45
255,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Better Days,75,"['neo mellow', 'permanent wave', 'pop rock']",70
256,Macklemore & Ryan Lewis,The Heist,Ten Thousand Hours,83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
257,Bo Kaspers Orkester,Redo att gå sönder,Att vara ung,51,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",49
258,Bastille,Bad Blood,Overjoyed,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
259,MisterWives,Machine,Machine,71,"['electropop', 'indie pop', 'indie poptimism', 'modern rock', 'nyc pop', 'pop rock']",60
260,Anna Ternheim,The Night Visitor,All Shadows,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",44
261,Betty Who,The Valley,I Love You Always Forever,61,"['electropop', 'pop', 'tropical house']",62
262,Dotter,Dive,Dive - Acoustic Version,49,"['europop', 'eurovision', 'swedish pop']",43
263,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Let Love In,75,"['neo mellow', 'permanent wave', 'pop rock']",70
264,Panicland,Rome Falls,Rome Falls,56,['manitoba indie'],44
265,Regina Spektor,Far,Eet,73,"['indie pop', 'lilith', 'piano rock']",61
266,Hov1,Vindar på Mars,Älskling,65,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
267,Thomas Stenström,Västerbron,Västerbron,69,['swedish pop'],61
268,Petter,Lev nu,Va mig själv,63,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",55
269,Anna Ternheim,Live In Stockholm,Calling Love - Live,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",44
270,The Shins,Port Of Morrow,Simple Song,70,"['albuquerque indie', 'alternative rock', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'stomp and holler']",60
271,Macklemore & Ryan Lewis,The Heist,BomBom (feat. The Teaching),83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
272,BANKS,Goddess,Beggin For Thread,51,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
273,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,"Tonight, Tonight - Remastered 2012",77,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock', 'spacegrunge']",69
274,Kidz Bop Kids,KIDZ BOP 27,Shake It Off,2,"[""children's music""]",66
275,Birdy,Let It All Go,Let It All Go,71,['pop'],67
276,Phil Collins,No Jacket Required,We Said Hello Goodbye,77,"['mellow gold', 'rock drums', 'soft rock']",74
277,Frida Hyvönen,Silence Is Wild,Oh Shanghai,35,['swedish country'],36
278,Leigh Nash,Ultimate Hymns For Today,"Saviour, Like a Shepherd Lead Us (Blessed Jesus)",32,['candy pop'],29
279,Hobo Johnson,The Rise of Hobo Johnson,Sex in the City,59,"['emo rap', 'sacramento hip hop']",54
280,Phosphorescent,Spotify Sessions,Song For Zula - Live From Spotify London,63,"['alternative americana', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'new americana', 'stomp and holler', 'swedish americana']",50
281,Grouplove,Big Mess,Good Morning,81,"['indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",64
282,Daði Freyr,Söngvakeppnin 2020,Think About Things,68,"['icelandic pop', 'sunnlensk tonlist']",53
283,Drake,Nice For What,Nice For What,0,"['latin', 'reggaeton', 'trap latino']",100
284,Florence + The Machine,Ceremonials,Shake It Out,76,"['baroque pop', 'pop', 'uk alternative pop']",75
285,Eminem,Curtain Call: The Hits,Stan,88,"['detroit hip hop', 'hip hop', 'rap']",89
286,Shawn Mendes,Shawn Mendes,Lost In Japan,86,"['canadian pop', 'pop', 'viral pop']",83
287,Bastille,"VS. (Other People’s Heartache, Pt. III)",The Driver,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
288,Crying Day Care Choir,Join the Joyful Revolution,Flowers Upon Flowers,55,"['swedish folk pop', 'swedish pop']",42
289,Bastille,Bad Blood,Things We Lost In The Fire,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
290,Melody Club,Face the Music,Winterland,45,"['swedish alternative rock', 'swedish indie pop', 'swedish pop', 'swedish synthpop']",35
291,Jack's Mannequin,People And Things,Restless Dream,46,"['emo', 'neo mellow', 'neon pop punk', 'piano rock', 'pop emo', 'pop punk', 'pop rock']",45
292,Vance Joy,Nation of Two,Like Gold,82,"['folk-pop', 'modern rock', 'pop', 'pop rock']",75
293,Jasmine Thompson,Another Bundle of Tantrums,Sweet Child O' Mine,74,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'pop rap', 'tropical house']",73
294,The Apples In Stereo,New Magnetic Wonder,Energy,45,"['alternative rock', 'denver indie', 'elephant 6', 'gbvfi', 'indie rock', 'lo-fi']",37
295,Kristoffer Kar,Raging Storm,Raging Storm,17,[],14
296,Kygo,Nothing Left (feat. Will Heard),Nothing Left (feat. Will Heard),82,"['edm', 'pop', 'pop dance', 'tropical house']",79
297,Hurts,Love Songs 2012 - 55 sange du altid har elsket,Stay,73,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house']",66
298,Friska Viljor,My Name Is Friska Viljor,Sitting on My Dream,39,"['german indie', 'swedish indie rock']",34
299,Dua Lipa,Hotter Than Hell,Hotter Than Hell,85,"['deep underground hip hop', 'kentucky hip hop', 'rap']",86
300,Tommy Körberg,Förgiftat blod,Förgiftat blod,54,['classic swedish pop'],45
301,Guns N' Roses,Appetite For Destruction,Rocket Queen,79,"['glam metal', 'hard rock', 'rock']",78
302,Säkert!,Arktiska oceanen - EP,Arktiska oceanen,43,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",55
303,Bastille,All This Bad Blood,Previously On Other People's Heartache...,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
304,Veronica Maggio,Den första är alltid gratis,Vi mot världen,67,['swedish pop'],65
305,Lady Sovereign,Public Warning,9 to 5,47,[],34
306,Sarah Klang,Love in the Milky Way,Left Me on Fire,51,"['swedish americana', 'swedish indie pop', 'swedish pop']",46
307,Matisyahu,Youth,What I'm Fighting For,49,['reggae fusion'],56
308,Georg Wadenius,Reconnection,Brothers In Arms,38,[],24
309,Flatbush Zombies,Vacation In Hell,The Goddess (feat. Dave B.),58,"['escape room', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']",57
310,Sylvia Vrethammar,Så mycket bättre - säsong 3,Små lätta moln,38,"['classic swedish pop', 'swedish pop', 'vintage swedish pop']",30
311,Everlast,White Trash Beautiful,Lonely Road,59,"['eurodance', 'europop', 'italian disco', 'new romantic', 'new wave pop', 'synthpop']",55
312,Ensamhushåll,Demos 2007-2010,VinterNoll2,14,['lund indie'],4
313,HONNE,Someone That Loves You (Late Night Version),Someone That Loves You - Late Night Version,1,"['pop', 'uk pop']",65
314,Amy Winehouse,Back To Black,Tears Dry On Their Own,79,"['british soul', 'indie r&b', 'neo soul']",73
315,Bear's Den,Islands,The Love We Stole,62,"['folk-pop', 'indie folk', 'stomp and flutter', 'stomp and holler', 'uk americana']",57
316,Monica Heldal,Boy From The North,Scarlet,35,"['bergen indie', 'new americana', 'norwegian americana', 'norwegian singer-songwriter']",31
317,Andreas Moe,Before the Rumble Comes,Ocean,43,"['swedish indie pop', 'swedish pop', 'swedish singer-songwriter']",44
318,Oddnesse,I Used To,I Used To,46,['la indie'],27
319,NEEDTOBREATHE,HAPPINESS,HAPPINESS,63,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop', 'indiecoustica', 'neo mellow', 'worship']",63
320,2Pac,All Eyez On Me,I Ain't Mad At Cha,81,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",78
321,Snoop Dogg,Doggystyle,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",77,"['detroit hip hop', 'hip hop', 'rap']",89
322,Spin Doctors,Pocket Full Of Kryptonite,Two Princes,71,"['alternative rock', 'pop rock', 'rock']",58
323,Moneybrother,Så Mycket Bättre - Tolkningarna,Tro på varann,41,"['classic swedish pop', 'swedish alternative rock', 'swedish indie rock', 'swedish pop']",36
324,John De Sohn,Standing When It All Falls Down (feat. Roshi),Standing When It All Falls Down (feat. Roshi) - Piano Version,67,"['dance pop', 'edm', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",60
325,Peter Jöback,Sing Me Out,Sing Me Out,48,"['classic swedish pop', 'europop', 'swedish pop']",44
326,Electric Guest,Plural,Oh Devil,60,"['alternative dance', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop', 'vapor soul']",55
327,Electric Guest,This Head I Hold,This Head I Hold,60,"['alternative dance', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop', 'vapor soul']",55
328,Jon Bellion,The Human Condition,Overwhelming,71,['pop rap'],67
329,Tom Odell,Wrong Crowd,Here I Am,90,"['chill pop', 'pop']",73
330,SeLest,Hösten,Fariséerna,56,['scandipop'],58
331,Marc E. Bassy,"Only The Poets Mixtape, Vol. 1",Sister Interlude,64,"['pop', 'pop rap', 'r&b']",63
332,Gavin DeGraw,Chariot - Stripped,Chariot,59,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",62
333,Imagine Dragons,Night Visions,Cover Up,88,"['modern rock', 'rock']",86
334,Ison & Fille,Länge leve vi,Länge leve vi,48,"['swedish hip hop', 'swedish pop', 'swedish trap pop']",42
335,Bo Kaspers Orkester,Så mycket Bo Kaspers Orkester,Ett tag till,51,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",49
336,Lars Winnerbäck,Vatten under broarna,Det är visst nån som är tillbaka,59,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",56
337,Imagine Dragons,Night Visions,On Top Of The World,88,"['modern rock', 'rock']",86
338,Stevie Wonder,Songs In The Key Of Life,Sir Duke,76,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",73
339,Jonas Blue,Mama,Mama,70,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",74
340,Andrew McMahon in the Wilderness,Zombies On Broadway,Don't Speak For Me (True),63,"['hopebeat', 'indie poptimism', 'modern alternative rock', 'modern rock', 'neo mellow', 'piano rock', 'pop rock', 'stomp and holler']",50
341,Nano,Perfect Melody,Perfect Melody,39,[],35
342,Thirty Seconds To Mars,This Is War,This Is War,75,"['modern rock', 'post-grunge', 'rock']",65
343,Avicii,Stories,Waiting For Love,86,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79
344,Melissa Horn,Jag går nu,En helt vanlig dag,61,"['classic swedish pop', 'swedish pop']",54
345,2Pac,Resurrection,Runnin' (Dying To Live),81,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",78
346,Saint Motel,My Type EP,Cold Cold Man,69,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock']",62
347,Beyoncé,4,Best Thing I Never Had,89,"['dance pop', 'pop', 'r&b']",83
348,Imagine Dragons,Night Visions,Amsterdam,88,"['modern rock', 'rock']",86
349,Rise Against,"Broken Dreams, Inc.","Broken Dreams, Inc.",75,"['chicago hardcore', 'chicago punk', 'hardcore punk', 'punk']",69
350,Boufa Boufa,Canadian brother,Canadian brother,6,[],0
351,blink-182,California,She's Out Of Her Mind,81,"['pop punk', 'punk', 'rock', 'socal pop punk']",75
352,Lars Eriksson,Dictions and Contradictions,"Hey Ho, the Road Is Long",32,['swedish singer-songwriter'],23
353,Bear's Den,Islands,Above The Clouds Of Pompeii,62,"['folk-pop', 'indie folk', 'stomp and flutter', 'stomp and holler', 'uk americana']",57
354,Silvana Imam,Helig Moder,Ta Hand Om Dig,49,['swedish pop'],66
355,Muse,Black Holes and Revelations,Starlight,13,"['baroque', 'classical', 'early music', 'german baroque']",74
356,Mohlavyr,Krympta drömmar,Nico,2,['orebro indie'],1
357,Anna Ternheim,Somebody Outside,Troubled Mind - Naked Version,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",44
358,Lovisa Negga,Mihá Ja Gievrra,Mihá Ja Gievrra,15,['gauze pop'],5
359,Sia,Elastic Heart (The Remixes),Elastic Heart - Clams Casino Remix,80,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",85
360,Miss Li,Wolves,No One Sleeps When I'm Awake,74,"['classic swedish pop', 'swedish pop']",62
361,Flipsyde,We The People,Happy Birthday,54,['oakland hip hop'],46
362,Casting Crowns,Peace On Earth,While You Were Sleeping,67,"['ccm', 'christian alternative rock', 'christian music', 'worship']",62
363,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Dizzy,75,"['neo mellow', 'permanent wave', 'pop rock']",70
364,Disturbed,Evolution,Hold on to Memories,72,"['alternative metal', 'nu metal', 'rap metal']",71
365,Thomas Rusiak,Ride,Taking Monday Off,44,['swedish hip hop'],31
366,The Score,Oh My Love,Oh My Love,74,"['modern alternative rock', 'modern rock', 'rock']",69
367,Jason Mraz,Spotify Sessions,I'm Yours - Live on HSN Live,81,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",72
368,Lill Lindfors,Så mycket bättre säsong 4 - Ebbots dag,Pass Through Fear,44,"['classic swedish pop', 'folkmusik', 'swedish jazz', 'vintage swedish pop']",38
369,Akon,Konvicted,"Sorry, Blame It On Me",77,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",85
370,Red Hot Chili Peppers,Californication,Road Trippin',82,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",81
371,Johnossi,Transitions,For A Little While,52,"['swedish alternative rock', 'swedish indie rock']",43
372,Johnossi,Torch // Flame,Heavens (Then We Begin),52,"['swedish alternative rock', 'swedish indie rock']",43
373,Adam Olenius,Looking Forward to the New Me,Wednesdays,3,[],11
374,Bo Kaspers Orkester,Så mycket Bo Kaspers Orkester,Dansa på min grav,51,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']",49
375,Albin Johnsén,Din soldat,Din soldat - Akustisk version,56,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",47
376,Dermot Kennedy,Dermot Kennedy,For Island Fires and Family,80,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']",72
377,Joshua Radin,Wax Wings,Beautiful Day,58,"['acoustic pop', 'indie folk', 'indiecoustica', 'neo mellow', 'pop rock', 'viral pop']",55
378,Steget,Till slut,Såna som du,44,"['gothenburg indie', 'swedish indie pop']",28
379,Kenta,August & Kenta,Urarva,53,['classic swedish pop'],38
380,Low Roar,Low Roar,Just a Habit,34,['icelandic indie'],51
381,Erika Jayne,Crazy (feat. Maino) [Remixes],Crazy (feat. Maino) - Pop Radio,42,"['deep vocal house', 'strut']",32
382,LVNDSCAPE,Dive With Me EP,Dive With Me,49,"['deep house', 'deep tropical house', 'edm', 'electro house', 'pop dance', 'pop edm', 'tropical house']",54
383,Erika Jayne,XXPEN$IVE,XXPEN$IVE,42,"['deep vocal house', 'strut']",32
384,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,Black Balloon,75,"['neo mellow', 'permanent wave', 'pop rock']",70
385,Atmosphere,"To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's",The Best Day,65,[],46
386,Anouk,Together Alone,Nobody's Wife,60,"['dutch pop', 'dutch rock']",54
387,Helen Sjöholm,Korallreven & Vintergatan,Korallreven & Vintergatan - Så mycket bättre 2020,52,"['classic swedish pop', 'swedish pop']",46
388,J. Cole,2014 Forest Hills Drive,Hello,88,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",84
389,Alicia Keys,The Element Of Freedom,Try Sleeping with a Broken Heart,83,"['east coast hip hop', 'hip hop', 'rap']",82
390,Thomas Stenström,Rör inte min kompis!,Allt jag har,69,['swedish pop'],61
391,Low Roar,"Once in a Long, Long While...",St. Eriksplan,34,['icelandic indie'],51
392,Chris de Burgh,Missing You - The Collection,A Spaceman Came Travelling,76,"['mellow gold', 'new wave pop', 'soft rock']",60
393,Felix Jaehn,Book Of Love,Book Of Love,79,['dance pop'],64
394,Nomy,Song Or Suicide,You Better Die Young,58,['swedish alternative rock'],53
395,David Torstensson,27,Northern Wind,0,[],0
396,Marit Bergman,Baby Dry Your Eye,Adios Amigos,35,['swedish indie pop'],28
397,Afasi & Filthy,Fläcken,Jobb,40,['swedish hip hop'],29
398,Imagine Dragons,Night Visions,America,88,"['modern rock', 'rock']",86
399,The Kooks,Inside In / Inside Out,Naive,74,"['brighton indie', 'modern rock', 'rock']",66
400,Felicia Takman,Dunka dumma hjärta dunka,Dunka dumma hjärta dunka,50,['swedish pop'],43
401,Hurricane Love,EP,Only Human,36,"['edm', 'finnish edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",46
402,Bastille,All This Bad Blood,Get Home,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
403,Passenger,Young as the Morning Old as the Sea (Deluxe Edition),Young as the Morning Old as the Sea,74,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",69
404,NEEDTOBREATHE,The Outsiders,Won't Turn Back,63,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop', 'indiecoustica', 'neo mellow', 'worship']",63
405,Amanda Jenssen,Hymns For The Haunted,Illusionist,43,['swedish pop'],61
406,Red Hot Chili Peppers,The Getaway,Dark Necessities,82,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",81
407,Hov1,Vindar på Mars,Vindar på Mars,65,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
408,Gabrielle Aplin,English Rain EP,Please Don't Say You Love Me,64,"['acoustic pop', 'neo mellow', 'neo-singer-songwriter', 'pop', 'pop rock', 'uk pop', 'viral pop']",59
409,Ryan Adams,My Wrecking Ball,My Wrecking Ball,61,"['alternative country', 'folk', 'indie rock', 'neo mellow', 'new americana', 'pop rock', 'roots rock', 'singer-songwriter', 'stomp and holler']",57
410,Grits,The Art of Translation,Ooh Ahh (My Life Be Like) (feat. Toby Mac),73,['christian hip hop'],54
411,Kid Cudi,Man On The Moon: The End Of Day,Soundtrack 2 My Life,78,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",85
412,G-Eazy,When It's Dark Out,"Me, Myself & I",79,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",75
413,Tomas Ledin,Tillfälligheternas spel,Hon gör allt för att göra mig lycklig,62,"['classic swedish pop', 'europop', 'swedish pop']",54
414,Moneybrother,Stannar om du ber mig,Stannar om du ber mig,41,"['classic swedish pop', 'swedish alternative rock', 'swedish indie rock', 'swedish pop']",36
415,Chris Call,Cool Kids,Cool Kids - Unplugged Version,69,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",85
416,Glasvegas,Glasvegas,Geraldine,50,['scottish indie'],36
417,Marvin Gaye,Sexual Healing,Sexual Healing - Kygo Remix,82,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",71
418,Ane Brun,Leave Me Breathless,I Want To Know What Love Is,55,"['melancholia', 'norwegian singer-songwriter']",56
419,Hov1,Gudarna på Västerbron,Förlåt - Bonus Track,65,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
420,Hanna Järver,c'mon,c'mon,33,['swedish electropop'],27
421,Jamie Lawson,Wasn't Expecting That,Wasn't Expecting That,63,"['devon indie', 'neo mellow']",51
422,kent,Du & jag döden,Mannen i den vita hatten (16 år senare),50,['norwegian pop'],43
423,Train,Drops Of Jupiter,Drops of Jupiter (Tell Me),80,"['pop', 'talent show', 'uk pop']",77
424,Seal,Do You Ever,Do You Ever,1,"['atl hip hop', 'atl trap', 'rap', 'trap']",87
425,Franz Ferdinand,Franz Ferdinand,Take Me Out,79,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",64
426,Elliott Smith,Either/Or,Angeles,64,"['alternative rock', 'indie pop', 'indie rock', 'melancholia', 'rock', 'singer-songwriter']",61
427,Eldkvarn,Stans Bästa Band - 1971-2011,Konfettiregn,49,"['classic swedish pop', 'svensk progg', 'swedish alternative rock', 'swedish pop']",43
428,Ebbot Lundberg,Så mycket bättre säsong 4 - Agnes dag,Release Me,28,['swedish alternative rock'],21
429,Christina Aguilera,Stripped,Beautiful,79,['pop'],84
430,Lukas Graham,Lukas Graham (Blue Album),7 Years,58,"['danish pop', 'pop', 'scandipop']",69
431,The Script,No Sound Without Silence,No Good in Goodbye,80,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock']",72
432,The Waterboys,This Is The Sea,The Whole Of The Moon - 2004 Remastered Version,67,"['art rock', 'celtic rock', 'new wave pop', 'rock', 'scottish new wave', 'scottish rock']",55
433,Led Zeppelin,Physical Graffiti,Kashmir - 1990 Remaster,80,"['album rock', 'classic rock', 'hard rock', 'rock']",75
434,Kid Cudi,Man On The Moon: The End Of Day,Pursuit Of Happiness (Nightmare),78,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",85
435,Bastille,All This Bad Blood,Laura Palmer,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
436,Thomas Stenström,Rör inte min kompis!,Så så så säg,69,['swedish pop'],61
437,Cold War Kids,Robbers & Cowards,We Used to Vacation,55,"['alternative rock', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'piano rock', 'pop rock', 'rock', 'stomp and holler']",60
438,Teddybears,"Young, Handsome & Fast","Young, Handsome & Fast",59,"['electronic rock', 'swedish electropop']",46
439,Meghan Trainor,All About That Bass,All About That Bass,75,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",73
440,Hov1,Vindar på Mars,Neon,65,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
441,Guns N' Roses,Use Your Illusion I,November Rain,79,"['glam metal', 'hard rock', 'rock']",78
442,Pulp,Different Class,Disco 2000,71,"['alternative rock', 'britpop', 'new wave', 'permanent wave', 'pop rock', 'rock', 'sheffield indie']",60
443,Alice Babs,Alice Babs - 20 originalinspelningar från åren 1951-1954,Lille prins sol (Alice Babs med dottern Lilleba),41,"['barnmusik', 'swedish jazz', 'vintage swedish pop']",34
444,Bastille,Wild World,Glory,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
445,Johnossi,Mavericks,Dead End,52,"['swedish alternative rock', 'swedish indie rock']",43
446,The Rusty Pipes,Cantavimus,For the Widows in Paradise,38,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",67
447,George Ezra,Wanted on Voyage,Blame It on Me,79,"['folk-pop', 'neo-singer-songwriter', 'pop', 'pop rock']",74
448,Tokio Myers,Angel,Angel,45,['uk alternative pop'],35
449,Lars Eriksson,Rust & Golden Dust,Rejected love,32,['swedish singer-songwriter'],23
450,estraden,Bra för dig,Bra för dig,68,['swedish pop'],55
451,Tom Petty,Wildflowers,Crawling Back To You,79,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",68
452,Huanastone,Bad Blood,Bad Blood,9,['swedish stoner rock'],3
453,Johnossi,Mavericks,Roscoe,52,"['swedish alternative rock', 'swedish indie rock']",43
454,Petter,Astronaut (feat. Maja Francis),Astronaut (feat. Maja Francis) - Varholmsgatan version,63,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",55
455,Muse,The Resistance,Undisclosed Desires,13,"['baroque', 'classical', 'early music', 'german baroque']",74
456,José González,Stay Alive,Stay Alive,65,"['gothenburg indie', 'indie folk', 'swedish indie folk', 'swedish indie pop', 'swedish singer-songwriter']",62
457,NOOX,Scars,Scars,62,"['classic swedish pop', 'gothenburg indie', 'swedish indie rock', 'swedish pop']",60
458,Noel Gallagher's High Flying Birds,The Death Of You And Me,The Death Of You And Me,55,"['britpop', 'modern rock', 'rock']",57
459,Ron Pope,Bone Structure,She's Good,69,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock', 'viral pop']",56
460,Albin Lee Meldau,Så mycket bättre 2018 - Tolkningarna,Spela min favoritvals,63,"['swedish pop', 'swedish singer-songwriter']",53
461,Imagine Dragons,Night Visions,Radioactive,88,"['modern rock', 'rock']",86
462,Obadiah Parker,Hey Ya,Hey Ya - live,53,"['acoustic cover', 'viral pop']",38
463,Bastille,All This Bad Blood,Daniel In The Den,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
464,Lars Winnerbäck,Dans med svåra steg,Kom änglar,59,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",56
465,Low Roar,The Sky Is Falling (B-Side),I Won't Be Long,34,['icelandic indie'],51
466,Llojd,Skisser II,V.22,33,"['kalmar indie', 'swedish soul']",27
467,Jakob Karlberg,Fan va bra,Fan va bra,59,"['swedish idol pop', 'swedish pop']",43
468,Roger Pontare,Kalla mig hem,Kalla mig hem,50,"['classic swedish pop', 'europop']",37
469,Lasse Berghagen,Så mycket bättre - musiken från TV-programmet,Because I Love You,58,"['classic swedish pop', 'swedish pop']",46
470,Smile,Bohemian Rhapsody,Doing All Right - ...Revisited,65,['swedish pop'],66
471,Dire Straits,Brothers In Arms,Brothers In Arms,81,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']",73
472,kent,Jag är inte rädd för mörkret,Färger På Natten,50,['norwegian pop'],43
473,Nadja Evelina,Ni två,Ni två,38,"['swedish idol pop', 'swedish pop']",32
474,Kid Cudi,Man On The Moon: The End Of Day,Day 'N' Nite (Nightmare),78,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",85
475,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Bombtrack,80,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']",70
476,Olly Murs,Right Place Right Time (Special Edition),Dear Darlin' (feat. Alizée),76,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",65
477,Florence + The Machine,Lungs,You've Got The Love,76,"['baroque pop', 'pop', 'uk alternative pop']",75
478,Daryl Hall & John Oates,The Very Best of Daryl Hall / John Oates,You Make My Dreams (Come True),78,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",69
479,Sabaton,Carolus Rex,Konungens likfärd,68,"['metal', 'power metal', 'swedish metal', 'swedish power metal']",70
