,trackName,artistName,albumName,populartySong,genres,populartyArtist
59,Lisa Ekdahl,Så mycket bättre 2016 - Ted Gärdestads dag,Sol vind och vatten,50,"['classic swedish pop', 'swedish jazz', 'swedish pop']",48
60,Alex Cornell,Youtube Sessions,Boston,51,[],33
61,Band of Gold,Where's the Magic,I Wanna Dance with You Again,53,"['classic soul', 'motown']",39
62,Tones And I,Dance Monkey,Dance Monkey,80,"['australian pop', 'pop']",71
63,Anna Ternheim,Live In Stockholm,Only Those Who Love - Live,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",44
64,Calvin Harris,My Way,My Way,89,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",84
65,Jimmy Jansson från Poets,Disney Rariteter,"Jag finns kvar - Från ""Skattkammarplaneten""",33,['disney svenska'],14
66,jeremy messersmith,The Reluctant Graveyard,"A Girl, a Boy, and a Graveyard",46,['minneapolis indie'],35
67,Shelley FKA DRAM,Gahdamn!,$ (feat. Donnie Trumpet),63,"['pop rap', 'virginia hip hop']",61
68,Johnossi,Johnossi,Summerbreeze,52,"['swedish alternative rock', 'swedish indie rock']",43
69,Bastille,Bad Blood,"Weight Of Living, Pt. II",76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
70,JUNG,Dreamers,Follow Your Heart,55,"['swedish drill', 'swedish hip hop', 'swedish trap pop']",62
71,Mac Miller,The Divine Feminine,Dang! (feat. Anderson .Paak),83,"['hip hop', 'pittsburgh rap', 'rap']",82
72,De Montevert,Vänner & Ovänner / Friends & Enemies,Rebel yell,24,"['avant-garde jazz', 'free improvisation', 'free jazz']",24
73,Boney M.,Daddy Cool,Rasputin,82,"['house', 'pop dance', 'uk dance']",65
74,Avicii,TIM,Ain't A Thing (feat. Bonn),86,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79
75,Miss Li,Wolves,1:a gången,74,"['classic swedish pop', 'swedish pop']",62
76,kent,Tigerdrottningen,Godhet,50,['norwegian pop'],43
77,Johan Alander,Punkt,Punkt,33,"['norrlandsk hip hop', 'swedish hip hop', 'swedish pop rap']",26
78,Tom Waits,Mule Variations,Hold On,61,"['folk', 'folk rock', 'roots rock', 'singer-songwriter']",58
79,Ida Redig,Everywhere,Everywhere,46,['swedish pop'],37
80,The Paper Kites,Woodland - EP,Bloom - Bonus Track,74,"['australian indie folk', 'indie folk', 'stomp and holler']",63
81,Hov1,Vindar på Mars,Fri,65,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
82,Kodaline,Sometimes,Sometimes,79,"['irish pop', 'modern rock', 'pop', 'pop rock']",70
83,Tokio Hotel,Scream,Monsoon,63,"['dance pop', 'edm', 'german dance', 'pop dance', 'slap house', 'tropical house']",70
84,Bastille,Bad Blood,Get Home,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
85,Mattias Alkberg,Jag ska bli en bättre vän,Ragnar,44,"['swedish alternative rock', 'swedish indie pop', 'swedish jazz', 'swedish pop']",37
86,David Bowie,Hunky Dory,Life on Mars? - 2015 Remaster,79,"['classic rock', 'glam rock', 'rock']",83
87,Tom Odell,Magnetised,Magnetised - Acoustic,90,"['chill pop', 'pop']",73
88,Low Roar,Low Roar,Friends Make Garbage (Good Friends Take It Out),34,['icelandic indie'],51
89,Avicii,TIM,Never Leave Me (feat. Joe Janiak),86,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79
90,Newkid,MOUNT JHUN,Kanske var vi rätt bra ändå,68,['swedish pop'],55
91,Fountains Of Wayne,Welcome Interstate Managers,Stacy's Mom,76,"['alternative rock', 'pop rock', 'power pop']",58
92,Feist,The Reminder,1234,62,"['canadian indie', 'canadian pop', 'chamber pop', 'indie pop']",59
93,Sugarplum Fairy,First Round First Minute,She,42,['swedish indie rock'],27
94,Avicii,AVĪCI,Without You (feat. Sandro Cavazza),86,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79
95,Lars Winnerbäck,Singel,Elden,59,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",56
96,Machine Gun Kelly,General Admission,All Night Long,71,['ohio hip hop'],81
97,Tom Odell,Long Way Down (Deluxe),Another Love,90,"['chill pop', 'pop']",73
98,Martin Berglund & Stödorkestern,Din ungdom ska aldrig dö,Din ungdom ska aldrig dö,22,['kalmar indie'],15
99,Ison & Fille,Jag Skrattar Idag,Jag Skrattar Idag,48,"['swedish hip hop', 'swedish pop', 'swedish trap pop']",42
100,Petter,Början på allt,Alla vet,63,"['swedish hip hop', 'swedish pop', 'swedish pop rap']",55
101,Macklemore & Ryan Lewis,The Heist,Same Love (feat. Mary Lambert),83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
102,Eighty Ninety,Three Thirty,Three Thirty,47,['brooklyn indie'],34
103,Wings,Wings At The Speed Of Sound,Silly Love Songs - Remastered 1993,41,"['deep pop edm', 'swedish tropical house']",34
104,The Rolling Stones,The Rolling Stones Singles Collection: The London Years,Sympathy For The Devil,80,"['album rock', 'british invasion', 'classic rock', 'rock']",77
105,Akon,Freedom,Beautiful,77,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",85
106,Ellie Goulding,Still Falling For You,"Still Falling For You - From ""Bridget Jones's Baby""",79,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",84
107,Thomas Stenström,Rör inte min kompis!,Eldorado,69,['swedish pop'],61
108,Iron & Wine,Around The Well,The Trapeze Swinger,63,"['chamber pop', 'indie folk', 'stomp and holler']",60
109,Magnus Carlson,Den långa vägen hem,Eternal Love,45,['classic swedish pop'],37
110,Anna Ternheim,Live In Stockholm,The Longer The Waiting (The Sweeter The Kiss) - Live,50,"['classic swedish pop', 'swedish pop', 'swedish singer-songwriter']",44
111,Iron & Wine,Our Endless Numbered Days,Naked As We Came,63,"['chamber pop', 'indie folk', 'stomp and holler']",60
112,Dustin Tebbutt,Bones EP,Bones,58,"['australian indie', 'indie folk']",51
113,Melody Club,Face the Music,Baby (Stand Up),45,"['swedish alternative rock', 'swedish indie pop', 'swedish pop', 'swedish synthpop']",35
114,Coldplay,Christmas Lights,Christmas Lights,82,"['permanent wave', 'pop']",86
115,Macklemore & Ryan Lewis,The Heist,Gold (feat. Eighty4 Fly),83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
116,One Week Gone,New Year's Resolution,New Year's Resolution,54,"['hip hop', 'rap', 'underground hip hop']",78
117,mansionz,Mansionz,Wicked,64,['pop rap'],54
