name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Stora gatan 2C,48,2,3235,1750000,236458,2019-3-6,Västerås kommun,Östermalm/Västerås,Bostadsrättslägenhet
Östra Bärbyvägen  10,144,5,,4375000,,2019-3-6,Västerås kommun,Örtagården,Friliggande villa
Korsängsgatan 8,67,3,3601,2100000,231343,2019-3-6,Västerås kommun,Korsängen/Folkets park,Bostadsrättslägenhet
Gudruns väg  47,122,4,,3300000,,2019-3-5,Västerås kommun,Irsta,Par/Rad/Kedjehus
Julrosvägen 23,90,3,4692,1375000,215278,2019-3-5,Västerås kommun,Önsta Gryta,Bostadsrättslägenhet
Spantgatan 8 B,42,2,4116,850000,220238,2019-3-5,Västerås kommun,Västra Stohagen,Bostadsrättslägenhet
Gränsvägen  18,156,4,,5750000,,2019-3-5,Västerås kommun,Ekbacken,Friliggande villa
Vetterslundsgatan 58,97,5,6137,940000,29641,2019-3-4,Västerås kommun,Vetterslund,Bostadsrättslägenhet
Emausgatan 27D,60,2,3522,1450000,224167,2019-3-4,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Storsegelgatan 1,89,5,4221,2890000,232291,2019-3-4,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Rekylgatan 6,65,3,4305,1220000,218769,2019-3-4,Västerås kommun,Haga,Bostadsrättslägenhet
Rörverksgatan 32,157,6,,2550000,,2019-3-2,Västerås kommun,Norra Bäckby,Villa
Djäknebergsgatan 3B,57,2,3694,1400000,224561,2019-3-1,Västerås kommun,Djäkneberget,Bostadsrättslägenhet
Gunnilbogatan 20 A,57,6,2984,1175000,220399,2019-3-1,Västerås kommun,Norra Malmaberg,Bostadsrättslägenhet
Morkullegatan 28,41,2,2345,650000,215854,2019-3-1,Västerås kommun,Råby,Bostadsrättslägenhet
Knutsgatan 4D,65,2,3508,1885000,229000,2019-2-28,Västerås kommun,City,Bostadsrättslägenhet
Blomstergatan 11,91,4,4787,1500000,216484,2019-2-28,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Lövhagsgatan 9,64,2,4325,630000,29844,2019-2-28,Västerås kommun,Råby,Bostadsrättslägenhet
Haga Parkgata 21 A,55,2,3556,1200000,221818,2019-2-28,Västerås kommun,Haga,Bostadsrättslägenhet
Karlsgatan 27,68,2,3961,1950000,228676,2019-2-28,Västerås kommun,Centrum,Bostadsrättslägenhet
Siggesborgsgatan 3C,53,5,2971,1195000,222336,2019-2-28,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Hagagränd 3,48,2,2980,1172000,224417,2019-2-28,Västerås kommun,Haga,Bostadsrättslägenhet
Narvavägen 81,80,3,5364,1530000,219125,2019-2-28,Västerås kommun,Hammarby,Bostadsrättslägenhet
Grönfinksvägen 14,84,3,5647,750000,28929,2019-2-27,Västerås kommun,Råby,Bostadsrättslägenhet
Stentorpsgatan 15B,51,2,3166,1005000,219706,2019-2-27,Västerås kommun,Malmaberg,Bostadsrättslägenhet
