name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Gotö Långgata 8,136,5,0.0,4215000,30992.647058823528,2018-11-17,Västerås kommun,Barkarö,Radhus
Sankta Ursulas Väg 2aa,140,3,6400.0,3175000,22678.571428571428,2018-11-17,Västerås kommun,Västerås - blåsbo,Bostadsrättslägenhet
Smältverksgatan 24,76,5,4375.0,770000,10131.578947368422,2018-11-17,Västerås kommun,Bäckby,Bostadsrättslägenhet
Dalslandsvägen 4,183,8,0.0,3700000,20218.579234972676,2018-11-17,Västerås kommun,Önsta gryta,Villa
Utanbygatan 6D,84,4,3553.0,2740000,32619.04761904762,2018-11-17,Västerås kommun,Centrum,Bostadsrättslägenhet
Mesangatan 2,116,5,5519.0,3100000,26724.137931034482,2018-11-16,Västerås kommun,Öster mälarstrand,Bostadsrättslägenhet
Bessemergatan 113,146,5,0.0,2960000,20273.972602739726,2018-11-16,Västerås kommun,Bäckby,Villa
Västermalmsgatan 7,57,2,3694.0,1625000,28508.77192982456,2018-11-15,Västerås kommun,Centrum/vasastaden,Bostadsrättslägenhet
Kaserngatan 83,80,3,3326.0,1930000,24125.0,2018-11-14,Västerås kommun,Viksäng,Bostadsrättslägenhet
Runebergsgatan 2E,71,2,3694.0,1975000,27816.901408450703,2018-11-14,Västerås kommun,Korsängsgärdet,Bostadsrättslägenhet
Patentgatan 3,46,2,2511.0,1650000,35869.565217391304,2018-11-14,Västerås kommun,Tegnerlunden,Bostadsrättslägenhet
Norrskensgatan 1,140,5,0.0,4150000,29642.85714285714,2018-11-14,Västerås kommun,Talltorp,Villa
Åsgatan 2B,75,3,2800.0,2350000,31333.333333333332,2018-11-14,Västerås kommun,Jakobsberg,Bostadsrättslägenhet
Kungsfågelgatan 25,51,9,3044.0,670000,13137.254901960785,2018-11-13,Västerås kommun,Råby,Bostadsrättslägenhet
Kolmsta 11,35,2,0.0,700000,20000.0,2018-11-13,Västerås kommun,Kolmsta,Fritidshus
Aspvretsgatan 1b,58,2,4062.0,1200000,20689.655172413793,2018-11-12,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Släggkastargatan 11,77,8,4072.0,1085000,14090.90909090909,2018-11-12,Västerås kommun,Rönnby,Bostadsrättslägenhet
Öster Mälarstrands Allé 112,74,3,3762.0,2850000,38513.51351351351,2018-11-12,Västerås kommun,Öster mälarstrand,Bostadsrättslägenhet
Välljärnsgatan 490,114,5,5927.0,1230000,10789.473684210527,2018-11-12,Västerås kommun,Bäckby,Bostadsrättslägenhet
Solhemsgatan 7B,122,6,5901.0,2700000,22131.147540983606,2018-11-12,Västerås kommun,Hemdal,Bostadsrättslägenhet
Bangatan 47B,74,5,3358.0,1150000,15540.54054054054,2018-11-11,Västerås kommun,Nordanby/gideonsberg,Bostadsrättslägenhet
Stentorpsgatan 17 C,41,5,2595.0,800000,19512.19512195122,2018-11-11,Västerås kommun,Malmaberg,Bostadsrättslägenhet
Förvaltargatan 13,146,4,0.0,3050000,20890.41095890411,2018-11-11,Västerås kommun,Hammarby,Villa
Skjutbanegatan 8C,56,2,2847.0,1160000,20714.285714285714,2018-11-11,Västerås kommun,Haga,Bostadsrättslägenhet
Skjutbanegatan 5A,56,1,3657.0,875000,15625.0,2018-11-11,Västerås kommun,Norra haga,Bostadsrättslägenhet
Skjutbanegatan 15B,80,3,4450.0,1485000,18562.5,2018-11-11,Västerås kommun,Norra haga,Bostadsrättslägenhet
Koordinatvägen 22,115,5,4990.0,2425000,21086.956521739132,2018-11-11,Västerås kommun,Skälby,Bostadsrättslägenhet
Längdhoppargatan 11,119,5,0.0,3400000,28571.428571428572,2018-11-11,Västerås kommun,Rönnby,Villa
Barkarö Bygata 201,136,5,0.0,2995000,22022.058823529413,2018-11-10,Västerås kommun,Barkarö,Villa
Stenmursvägen 8 B,120,3,5846.0,2450000,20416.666666666668,2018-11-10,Västerås kommun,Gäddeholm,Radhus
Biskopsgatan 8B,60,2,3275.0,1675000,27916.666666666668,2018-11-10,Västerås kommun,Centralt,Bostadsrättslägenhet
Genuagatan 6,40,2,3056.0,1620000,40500.0,2018-11-9,Västerås kommun,Öster mälarstrand,Bostadsrättslägenhet
Romfartuna prästgård 1,318,9,0.0,5425000,17059.748427672956,2018-11-9,Västerås kommun,Romfartuna,Villa
Bomansgatan 20B,38,1,3682.0,850000,22368.42105263158,2018-11-9,Västerås kommun,Centrum,Bostadsrättslägenhet
Stentorpsgatan 21,59,2,3558.0,995000,16864.406779661018,2018-11-9,Västerås kommun,Malmaberg/stentorpet,Bostadsrättslägenhet
Klockargatan 4 C,78,4,3897.0,1750000,22435.897435897437,2018-11-9,Västerås kommun,Klockartorp,Bostadsrättslägenhet
Lillhamragatan 19,146,6,0.0,5200000,35616.438356164384,2018-11-9,Västerås kommun,Lillhamra,Villa
Stora gatan 73A,88,3,4030.0,2750000,31250.0,2018-11-7,Västerås kommun,Vasastaden,Bostadsrättslägenhet
Regementsgatan 34,80,2,3290.0,1930000,24125.0,2018-11-7,Västerås kommun,Viksäng,Bostadsrättslägenhet
Bandverksgatan 98,111,4,5318.0,1900000,17117.117117117115,2018-11-7,Västerås kommun,Bäckby,Bostadsrättslägenhet
Stentorpsgatan 24B,26,1,1815.0,695000,26730.76923076923,2018-11-7,Västerås kommun,Malmaberg,Bostadsrättslägenhet
Kungsfågelgatan 77,81,9,5134.0,850000,10493.827160493827,2018-11-7,Västerås kommun,Råby,Bostadsrättslägenhet
Klockargatan 8C,65,9,3330.0,1150000,17692.30769230769,2018-11-7,Västerås kommun,Klockartorpet,Bostadsrättslägenhet
Benvägen 32,88,5,4819.0,965000,10965.90909090909,2018-11-6,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Bomansgatan 16B,38,1,3682.0,950000,25000.0,2018-11-6,Västerås kommun,Kristiansborg,Bostadsrättslägenhet
