name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Linnévägen 6,132,5,0,2000000,15151.515151515152, 8 maj. 2024, Kungsörs kommun,Kungsör,Radhus
Siktvägen 7,140,5,0,1650000,11785.714285714286, 27 apr. 2024, Kungsörs kommun,Kungsör,Villa
Tibblevägen 21,208,7,0,2050000,9855.76923076923, 26 apr. 2024, Kungsörs kommun,Torpa,Villa
Ladugårdsvägen 20,132,5,0,2405000,18219.696969696968, 25 apr. 2024, Kungsörs kommun,Centralt,Villa
Skäftruna 141,200,5,0,3200000,16000.0, 22 apr. 2024, Kungsörs kommun,Skäftruna,Villa
Gamla Köpingsvägen 32,107,4,0,2000000,18691.58878504673, 19 apr. 2024, Kungsörs kommun,Kungsör,Villa
Tornvägen 9,136,4,0,1700000,12500.0, 18 apr. 2024, Kungsörs kommun,Kungsör,Villa
Fredsgatan 16C,175,6,0,5100000,29142.85714285714, 12 apr. 2024, Kungsörs kommun,Kungsör,Villa
Torsgatan 3 B,39,1,2 096,400000,10256.410256410256, 10 apr. 2024, Kungsörs kommun,Centralt i kungsör,Other
Skillingeuddsvägen 36B,154,4,0,4900000,31818.18181818182, 8 apr. 2024, Kungsörs kommun,Skillinge,Villa
Himmelsbergavägen 27,113,6,0,2982400,26392.9203539823, 3 apr. 2024, Kungsörs kommun,Kungsör,Villa
Domherregatan 7,98,3,0,3300000,33673.4693877551, 27 mar. 2024, Kungsörs kommun,Runnaområdet,Villa
Ängsvägen 25,100,5,0,1100000,11000.0, 22 mar. 2024, Kungsörs kommun,Kungsör,Radhus
Dammenvägen 19,130,4,0,2500000,19230.76923076923, 22 mar. 2024, Kungsörs kommun,Lockmora,Villa
Rönnstigen 12,189,6,0,2175000,11507.936507936507, 14 mar. 2024, Kungsörs kommun,Valskog,Villa
Magasinsgatan 11,76,3,4 513,790000,10394.736842105263, 10 mar. 2024, Kungsörs kommun,Kungsör,Radhus
Ekoxgatan 28,162,6,0,2775000,17129.62962962963, 6 mar. 2024, Kungsörs kommun,Kungsör,Villa
Mästaregatan 18A,56,2,3 012,795000,14196.42857142857, 3 mar. 2024, Kungsörs kommun,Kungsör,Other
Sågvägen 39,85,3,0,1400000,16470.58823529412, 29 feb. 2024, Kungsörs kommun,Kungsör,Villa
Vallgatan 3,71,2,0,1200000,16901.408450704224, 27 feb. 2024, Kungsörs kommun,Kungsör,Villa
Birkagatan 9B,80,4,0,1525000,19062.5, 27 feb. 2024, Kungsörs kommun,Kungsör,Villa
Björkstigen 3,106,4,0,1300000,12264.150943396226, 24 feb. 2024, Kungsörs kommun,Valskog,Villa
